"row_id","cc_number","crime_date","description","inside_outside","weapon","shooting","post","gender","age","race","ethnicity","location","old_district","new_district","neighborhood","latitude","longitude","premise_type","total_incidents","display_time"
67682,"260902143",2026-09-06,"VANDALISM","O",NA,NA,"712","F",27,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","300 GOLD ST","N/A","WESTERN","DRUID HEIGHTS",39.310222,-76.635844,"STREET",1,"08:50 PM"
67683,"260902210",2026-09-07,"COMMON ASSAULT","I","PERSONAL_WEAPONS",NA,"925","F",NA,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","1400 BLOOMFIELD AVE","N/A","SOUTHERN","VIOLETVILLE",39.262326,-76.666604,"HOTEL/MOTEL",1,"12:20 AM"
67684,"260902211",2026-09-07,"COMMON ASSAULT","I","PERSONAL_WEAPONS",NA,"214","F",20,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","3800 E LOMBARD ST","N/A","SOUTHEAST","BALTIMORE HIGHLANDS",39.292131,-76.5646,"OTHER/RESIDENTIAL",1,"01:00 AM"
67685,"260901931",2026-09-06,"LARCENY","I",NA,NA,"121","M",52,NA,"NOT_HISPANIC_OR_LATINO","50 MARKET PL","N/A","CENTRAL","DOWNTOWN",39.288213,-76.606474,"CONVENIENCE STORE",1,"04:06 AM"
67686,"260901936",2026-09-06,"LARCENY","I",NA,NA,"528","M",57,"WHITE","UNKNOWN","2800 N CALVERT ST","N/A","NORTHERN","CHARLES VILLAGE",39.322224,-76.614749,"OTHER/RESIDENTIAL",1,"04:15 AM"
67735,"260901939",2026-09-06,"ROBBERY","O","PERSONAL_WEAPONS",NA,"228","M",30,NA,"HISPANIC_OR_LATINO","1 S HIGHLAND AVE","N/A","SOUTHEAST","BALTIMORE HIGHLANDS",39.292365,-76.569266,"STREET",1,"04:32 AM"
67736,"260901940",2026-09-06,"COMMON ASSAULT","I","UNKNOWN",NA,"828","M",30,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","900 W LOMBARD ST","N/A","SOUTHWEST","HOLLINS MARKET",39.286691,-76.632587,"OTHER/RESIDENTIAL",1,"04:50 AM"
67737,"260901940",2026-09-06,"COMMON ASSAULT","I","UNKNOWN",NA,"828","M",54,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","900 W LOMBARD ST","N/A","SOUTHWEST","HOLLINS MARKET",39.286691,-76.632587,"OTHER/RESIDENTIAL",1,"04:50 AM"
67738,"260902235",2026-09-06,"VANDALISM","I",NA,NA,"613","F",44,"BLACK_OR_AFRICAN_AMERICAN","UNKNOWN","3400 FAIRVIEW AVE","N/A","NORTHWEST","FOREST PARK",39.321775,-76.675267,"BUS/RAILROAD STATION",1,"03:15 PM"
67739,"260902238",2026-09-07,"VANDALISM","I",NA,NA,"527","M",51,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","800 MONTPELIER ST","N/A","NORTHERN","BETTER WAVERLY",39.325789,-76.606329,"OTHER/RESIDENTIAL",1,"03:00 AM"
67740,"260902243",2026-09-07,"COMMON ASSAULT","O","PERSONAL_WEAPONS",NA,"111","F",30,"UNKNOWN","HISPANIC_OR_LATINO","200 LIGHT ST","N/A","CENTRAL","INNER HARBOR",39.286496,-76.612085,"STREET",1,"03:22 AM"
67741,"260902343",2026-09-06,"AUTO THEFT","O",NA,NA,"412","F",43,"BLACK_OR_AFRICAN_AMERICAN","UNKNOWN","1500 STONEWOOD RD","N/A","NORTHEAST","STONEWOOD-PENTWOOD-WINSTON",39.349009,-76.590018,"STREET",1,"09:00 PM"
67742,"260902343",2026-09-06,"VANDALISM","O",NA,NA,"412","F",43,"BLACK_OR_AFRICAN_AMERICAN","UNKNOWN","1500 STONEWOOD RD","N/A","NORTHEAST","STONEWOOD-PENTWOOD-WINSTON",39.349009,-76.590018,"STREET",1,"09:00 PM"
67743,"260902346",2026-09-06,"VANDALISM","I",NA,NA,"415","M",71,"WHITE","UNKNOWN","2500 HAMILTON AVE","N/A","NORTHEAST","HAMILTON HILLS",39.356222,-76.566359,"OTHER/RESIDENTIAL",1,"09:30 PM"
67744,"260902350",2026-09-07,"LARCENY FROM AUTO","O",NA,NA,"326","F",46,"BLACK_OR_AFRICAN_AMERICAN","UNKNOWN","3100 KENYON AVE","N/A","EASTERN","BELAIR-EDISON",39.324024,-76.567697,"STREET",1,"02:00 AM"
67745,"260902118",2026-09-06,"LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES","O",NA,NA,"113",NA,NA,NA,NA,"300 PARK AVE","N/A","CENTRAL","DOWNTOWN",39.293006,-76.618196,"STREET",1,"07:59 PM"
67746,"260902123",2026-09-06,"SHOPLIFTING","I",NA,NA,"416",NA,NA,NA,NA,"7300 HARFORD RD","N/A","NORTHEAST","NORTH HARFORD ROAD",39.370453,-76.546098,"CONVENIENCE STORE",1,"02:26 PM"
67807,"260901985",2026-09-06,"COMMON ASSAULT","I","PERSONAL_WEAPONS",NA,"113","F",41,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO",NA,"N/A","CENTRAL","DOWNTOWN",39.290905,-76.614342,"OTHER/RESIDENTIAL",1,"08:20 AM"
67808,"260901986",2026-09-06,"RAPE","I","PERSONAL_WEAPONS",NA,"411","F",18,"BLACK_OR_AFRICAN_AMERICAN","UNKNOWN","3700 ELLERSLIE AVE","N/A","NORTHEAST","EDNOR GARDENS-LAKESIDE",39.336208,-76.603466,"OTHER/RESIDENTIAL",1,"08:00 AM"
67809,"260901992",2026-09-06,"LARCENY FROM AUTO","O",NA,NA,"216","F",48,"WHITE","NOT_HISPANIC_OR_LATINO","5600 O'DONNELL ST","N/A","SOUTHEAST","MEDFORD",39.280309,-76.547005,"SHED/GARAGE",1,"06:00 AM"
67810,"260901992",2026-09-06,"LARCENY FROM AUTO","O",NA,NA,"216","M",60,"WHITE","NOT_HISPANIC_OR_LATINO","5600 O'DONNELL ST","N/A","SOUTHEAST","MEDFORD",39.280309,-76.547005,"SHED/GARAGE",1,"06:00 AM"
67811,"260901994",2026-09-06,"ROBBERY - COMMERCIAL","I","PERSONAL_WEAPONS",NA,"113",NA,NA,NA,NA,"300 N CHARLES ST","N/A","CENTRAL","DOWNTOWN",39.292507,-76.615487,"CONVENIENCE STORE",1,"11:02 AM"
67812,"260901086",2026-09-03,"COMMON ASSAULT","I","PERSONAL_WEAPONS",NA,"617","F",18,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","4000 LIBERTY HEIGHTS AVE","N/A","NORTHWEST","CENTRAL FOREST PARK",39.328032,-76.68576,"OTHER/RESIDENTIAL",1,"10:23 PM"
67813,"260901089",2026-09-03,"LARCENY","I",NA,NA,"716","F",26,NA,"NOT_HISPANIC_OR_LATINO","1300 EUTAW PL","N/A","WESTERN","MADISON PARK",39.303888,-76.626532,"OTHER/RESIDENTIAL",1,"07:00 PM"
67814,"260900952",2026-09-03,"LARCENY","I",NA,NA,"925","F",34,"WHITE","NOT_HISPANIC_OR_LATINO","3600 MACTAVISH AVE","N/A","SOUTHERN","VIOLETVILLE",39.266305,-76.677241,"OTHER/RESIDENTIAL",1,"04:28 PM"
67815,"260900840",2026-09-03,"LARCENY","I",NA,NA,"228","M",40,"BLACK_OR_AFRICAN_AMERICAN","HISPANIC_OR_LATINO","3200 E BALTIMORE ST","N/A","SOUTHEAST","PATTERSON PARK NEIGHBORHOOD",39.292228,-76.571686,"OTHER/RESIDENTIAL",1,"04:39 AM"
67816,"260900839",2026-09-03,"AUTO THEFT","I",NA,NA,"628","F",36,"WHITE","NOT_HISPANIC_OR_LATINO","6900 DORSET PL","N/A","NORTHWEST","FALLSTAFF",39.361298,-76.707581,"OTHER/RESIDENTIAL",1,"07:45 AM"
67817,"260900963",2026-09-03,"LARCENY FROM AUTO","I",NA,NA,"922","F",27,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","1300 JAMES ST","N/A","SOUTHERN","WASHINGTON VILLAGE/PIGTOWN",39.280617,-76.637093,"OTHER/RESIDENTIAL",1,"10:30 AM"
67818,"260900971",2026-09-03,"FRAUD","I",NA,NA,"912","F",32,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO",NA,"N/A","SOUTHERN","MIDDLE BRANCH/REEDBIRD PARKS",39.253261,-76.615526,"UNKNOWN",1,"06:20 PM"
67820,"260935583",2026-09-05,"LARCENY","I",NA,NA,"528","M",22,"ASIAN","SOUTH_ASIAN","300 WHITRIDGE AVE","N/A","NORTHERN","HARWOOD",39.321646,-76.611959,"OTHER/RESIDENTIAL",1,"05:20 PM"
67821,"260901805",2026-09-05,"COMMON ASSAULT","O","PERSONAL_WEAPONS",NA,"324","F",12,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","2600 GROGAN AVE","N/A","EASTERN","BEREA",39.306565,-76.580506,"STREET",1,"07:50 PM"
67822,"260901807",2026-09-05,"ROBBERY","O","FIREARM",NA,"728","M",43,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","1600 RETREAT ST","N/A","WESTERN","PENN NORTH",39.312004,-76.643102,"STREET",1,"06:30 PM"
67823,"260901810",2026-09-05,"SHOPLIFTING","I",NA,NA,"623",NA,NA,NA,NA,"5400 REISTERSTOWN RD","N/A","NORTHWEST","WOODMERE",39.347332,-76.689019,"CONVENIENCE STORE",1,"08:05 PM"
67824,"260901811",2026-09-05,"COMMON ASSAULT","O","PERSONAL_WEAPONS",NA,"828","F",70,"BLACK_OR_AFRICAN_AMERICAN","UNKNOWN","100 S CARLTON ST","N/A","SOUTHWEST","HOLLINS MARKET",39.286264,-76.635979,"STREET",1,"07:40 PM"
67825,"260901811",2026-09-05,"COMMON ASSAULT","O","PERSONAL_WEAPONS",NA,"828","F",26,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","100 S CARLTON ST","N/A","SOUTHWEST","HOLLINS MARKET",39.286264,-76.635979,"STREET",1,"07:40 PM"
67826,"260901851",2026-09-05,"VANDALISM","O",NA,NA,"114","M",41,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","300 E SARATOGA ST","N/A","CENTRAL","DOWNTOWN",39.29256,-76.610631,"STREET",1,"08:22 PM"
67827,"260901855",2026-09-05,"LARCENY","I",NA,NA,"928","F",57,"WHITE","NOT_HISPANIC_OR_LATINO","1300 DECATUR ST","N/A","SOUTHERN","LOCUST POINT",39.271272,-76.593761,"OTHER/RESIDENTIAL",1,"05:58 PM"
67828,"260901856",2026-09-05,"VANDALISM","I",NA,NA,"917","M",43,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","1000 SHELLBANKS RD","N/A","SOUTHERN","CHERRY HILL",39.24995,-76.629702,"OTHER/RESIDENTIAL",1,"11:01 PM"
67829,"260901864",2026-09-05,"LARCENY","I",NA,NA,"113","M",19,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","100 N CHARLES ST","N/A","CENTRAL","DOWNTOWN",39.290709,-76.615447,"UNKNOWN",1,"06:00 PM"
67830,"260901865",2026-09-06,"SHOPLIFTING","I",NA,NA,"524",NA,NA,NA,NA,"5000 YORK RD","N/A","NORTHERN","WINSTON-GOVANS",39.34981,-76.609412,"WHOLESALEDISC. STOR",1,"12:00 AM"
67868,"260900972",2026-09-03,"AUTO THEFT","O",NA,NA,"325","M",23,"BLACK_OR_AFRICAN_AMERICAN","UNKNOWN","2100 ST LO DRIVE","N/A","EASTERN","CLIFTON PARK",39.315083,-76.590117,"STREET",1,"01:30 PM"
67869,"260900979",2026-09-03,"AGG. ASSAULT","I","BLUNT_OBJECT",NA,"313","M",57,"BLACK_OR_AFRICAN_AMERICAN","UNKNOWN","2400 BARCLAY ST","N/A","EASTERN","BARCLAY",39.316431,-76.611053,"OTHER/RESIDENTIAL",1,"06:30 PM"
67870,"260900984",2026-09-03,"BURGLARY","I",NA,NA,"727","F",61,NA,"NOT_HISPANIC_OR_LATINO","1700 GWYNNS FALLS PKWY","N/A","WESTERN","AUCHENTOROLY-PARKWOOD",39.316814,-76.64989,"OTHER/RESIDENTIAL",1,"06:23 PM"
67871,"260900935",2026-09-03,"AGG. ASSAULT","I","PERSONAL_WEAPONS",NA,"521","M",18,NA,"UNKNOWN","500 W UNIVERSITY PKWY","N/A","NORTHERN","ROLAND PARK",39.337282,-76.624402,"OTHER/RESIDENTIAL",1,"03:20 PM"
67872,"260900936",2026-09-03,"ARSON","I",NA,NA,"527","M",45,NA,"UNKNOWN","300 E 30TH ST","N/A","NORTHERN","ABELL",39.324577,-76.611235,"OTHER/RESIDENTIAL",1,"08:01 PM"
67873,"260900936",2026-09-03,"ARSON","I",NA,NA,"527","F",47,"WHITE","UNKNOWN","300 E 30TH ST","N/A","NORTHERN","ABELL",39.324577,-76.611235,"OTHER/RESIDENTIAL",1,"08:01 PM"
67874,"260900936",2026-09-03,"ARSON","I",NA,NA,"527","U",NA,NA,"UNKNOWN","300 E 30TH ST","N/A","NORTHERN","ABELL",39.324577,-76.611235,"OTHER/RESIDENTIAL",1,"08:01 PM"
67875,"260902058",2026-09-04,"AGG. ASSAULT","I","BLUNT_OBJECT",NA,"826","F",28,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","30 N BRUCE ST","N/A","SOUTHWEST","FRANKLIN SQUARE",39.289122,-76.644442,"OTHER/RESIDENTIAL",1,"02:51 AM"
67876,"260902634",2026-09-03,"AGG. ASSAULT","I","PERSONAL_WEAPONS",NA,"521","M",18,NA,"UNKNOWN","500 W UNIVERSITY PKWY","N/A","NORTHERN","ROLAND PARK",39.337282,-76.624402,"OTHER/RESIDENTIAL",1,"03:20 PM"
67877,"260902634",2026-09-03,"AGG. ASSAULT","I","ASPHYXIATION",NA,"521","F",31,"ASIAN","UNKNOWN","500 W UNIVERSITY PKWY","N/A","NORTHERN","ROLAND PARK",39.337282,-76.624402,"OTHER/RESIDENTIAL",1,"03:20 PM"
67878,"260903306",2026-09-03,"VANDALISM","I",NA,NA,"126",NA,NA,NA,NA,"200 S CAROLINE ST","N/A","CENTRAL","PERKINS",39.288886,-76.597068,"OTHER/RESIDENTIAL",1,"05:30 AM"
67879,"260901101",2026-09-03,"BURGLARY","I",NA,NA,"726","F",28,"BLACK_OR_AFRICAN_AMERICAN","UNKNOWN","1800 WALBROOK AVE","N/A","WESTERN","MONDAWMIN",39.311075,-76.64769,"OTHER/RESIDENTIAL",1,"03:40 PM"
67880,"260901103",2026-09-03,"RAPE","I","PERSONAL_WEAPONS",NA,"315","F",26,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","2700 THE ALAMEDA","N/A","EASTERN","COLDSTREAM HOMESTEAD MONTEBELLO",39.321911,-76.591971,"OTHER/RESIDENTIAL",1,"05:00 PM"
67881,"260901776",2026-09-05,"AGG. ASSAULT","O","HANDGUN",NA,"724","F",14,"BLACK_OR_AFRICAN_AMERICAN","HISPANIC_OR_LATINO","1100 BRADDISH AVE","N/A","WESTERN","WINCHESTER",39.300551,-76.66105,"STREET",1,"04:34 PM"
67882,"260901776",2026-09-05,"AGG. ASSAULT","O","HANDGUN",NA,"724","M",41,"WHITE","NOT_HISPANIC_OR_LATINO","1100 BRADDISH AVE","N/A","WESTERN","WINCHESTER",39.300551,-76.66105,"STREET",1,"04:34 PM"
67883,"260901776",2026-09-05,"AGG. ASSAULT","O","HANDGUN",NA,"724","M",51,"BLACK_OR_AFRICAN_AMERICAN","UNKNOWN","1100 BRADDISH AVE","N/A","WESTERN","WINCHESTER",39.300551,-76.66105,"STREET",1,"04:34 PM"
67884,"260901776",2026-09-05,"AGG. ASSAULT","O","HANDGUN",NA,"724","M",29,"WHITE","HISPANIC_OR_LATINO","1100 BRADDISH AVE","N/A","WESTERN","WINCHESTER",39.300551,-76.66105,"STREET",1,"04:34 PM"
67885,"260901776",2026-09-05,"AGG. ASSAULT","O","HANDGUN",NA,"724","F",7,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","1100 BRADDISH AVE","N/A","WESTERN","WINCHESTER",39.300551,-76.66105,"STREET",1,"04:34 PM"
67886,"260902611",2026-09-05,"VANDALISM","O",NA,NA,"217","M",47,NA,"NOT_HISPANIC_OR_LATINO",NA,"N/A","SOUTHEAST","GRACELAND PARK",39.272661,-76.530597,"SHED/GARAGE",1,"07:00 PM"
67887,"260903151",2026-09-06,"LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES","I",NA,NA,"623","F",46,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","5200 LINDEN HEIGHTS AVE","N/A","NORTHWEST","WOODMERE",39.3443,-76.683538,"OTHER/RESIDENTIAL",1,"01:30 AM"
67888,"260903192",2026-09-05,"FRAUD","I",NA,NA,"413","F",42,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","1900 NORTHBOURNE RD","N/A","NORTHEAST","PERRING LOCH",39.353945,-76.581351,"OTHER/RESIDENTIAL",1,"09:06 PM"
67889,"260903265",2026-09-05,"LARCENY","I",NA,NA,"117","F",21,NA,"UNKNOWN","9 E MT ROYAL AVENUE","N/A","CENTRAL","MID-TOWN BELVEDERE",39.305299,-76.615552,"OTHER/RESIDENTIAL",1,"05:25 PM"
67890,"260901770",2026-09-05,"COMMON ASSAULT","I","PERSONAL_WEAPONS",NA,"112","F",32,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","100 N EUTAW ST","N/A","CENTRAL","DOWNTOWN",39.291129,-76.621254,"RESTAURANT",1,"05:49 PM"
67891,"260902459",2026-09-05,"LARCENY","O",NA,NA,"826","F",36,"WHITE","NOT_HISPANIC_OR_LATINO","1800 HOLLINS ST","N/A","SOUTHWEST","CARROLLTON RIDGE",39.287053,-76.646612,"STREET",1,"05:00 PM"
67892,"260903626",2026-09-05,"LARCENY","O",NA,NA,"513","M",44,"BLACK_OR_AFRICAN_AMERICAN","UNKNOWN","3500 REISTERSTOWN RD","N/A","NORTHERN","PARK CIRCLE",39.328075,-76.659308,"STREET",1,"10:00 PM"
67942,"260901111",2026-09-04,"COMMON ASSAULT","O","PERSONAL_WEAPONS",NA,"713","M",49,"WHITE","HISPANIC_OR_LATINO","1500 PENNSYLVANIA AVE","N/A","WESTERN","UPTON",39.301946,-76.633076,"STREET",1,"12:14 AM"
67943,"260901114",2026-09-03,"AUTO THEFT","O",NA,NA,"414","M",NA,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","800 E BELVEDERE AVE","N/A","NORTHEAST","BELVEDERE",39.361384,-76.603274,"STREET",1,"10:30 PM"
67944,"260901122",2026-09-04,"INTIMIDATION","I",NA,NA,"314","M",54,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","1900 CECIL AVE","N/A","EASTERN","EAST BALTIMORE MIDWAY",39.312124,-76.605416,"OTHER/RESIDENTIAL",1,"01:28 AM"
67945,"260901125",2026-09-04,"BURGLARY","I",NA,NA,"113","M",33,"BLACK_OR_AFRICAN_AMERICAN","UNKNOWN","200 PARK AVE","N/A","CENTRAL","DOWNTOWN",39.292557,-76.617899,"OTHER/RESIDENTIAL",1,"01:44 AM"
67946,"260901126",2026-09-04,"AGG. ASSAULT","O","BLUNT_OBJECT",NA,"721","F",39,NA,"UNKNOWN","1800 BRADDISH AVE","N/A","WESTERN","COPPIN HEIGHTS/ASH-CO-EAST",39.30842,-76.661239,"STREET",1,"01:00 AM"
67947,"260901128",2026-09-04,"BURGLARY","I",NA,NA,"618","F",39,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","4200 MAINE AVE","N/A","NORTHWEST","CENTRAL FOREST PARK",39.328369,-76.689321,"OTHER/RESIDENTIAL",1,"12:47 AM"
67948,"260901130",2026-09-04,"AGG. ASSAULT","I","FIREARM","Y","711","M",30,"BLACK_OR_AFRICAN_AMERICAN","UNKNOWN","1300 LAURENS ST","N/A","WESTERN","SANDTOWN-WINCHESTER",39.303622,-76.639118,"CONVENIENCE STORE",1,"02:17 AM"
67949,"260901134",2026-09-04,"LARCENY","I",NA,NA,"617","M",24,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","4100 BARRINGTON RD","N/A","NORTHWEST","DORCHESTER",39.33115,-76.687576,"OTHER/RESIDENTIAL",1,"02:31 AM"
67950,"260901166",2026-09-04,"VANDALISM","O",NA,NA,"616","M",30,NA,"NOT_HISPANIC_OR_LATINO","3000 LIBERTY HEIGHTS AVE","N/A","NORTHWEST","ASHBURTON",39.322572,-76.665044,"SHED/GARAGE",1,"02:13 AM"
67951,"260901199",2026-09-03,"AUTO THEFT","O",NA,NA,"627","F",67,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","6000 HIGHGATE DR","N/A","NORTHWEST","GLEN",39.359749,-76.68567,"SHED/GARAGE",1,"11:30 PM"
67952,"260901199",2026-09-03,"VANDALISM","O",NA,NA,"627","F",67,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","6000 HIGHGATE DR","N/A","NORTHWEST","GLEN",39.359749,-76.68567,"SHED/GARAGE",1,"11:30 PM"
67953,"260901204",2026-09-03,"AUTO THEFT","I",NA,NA,"627","M",47,"WHITE","NOT_HISPANIC_OR_LATINO","3000 GLEN AVE","N/A","NORTHWEST","GLEN",39.359232,-76.680975,"OTHER/RESIDENTIAL",1,"09:00 PM"
67954,"260904073",2026-09-05,"AGG. ASSAULT","O","PERSONAL_WEAPONS",NA,"311","M",40,"WHITE","UNKNOWN","1 W LAFAYETTE AVE","N/A","EASTERN","CHARLES NORTH",39.309727,-76.616691,"STREET",1,"05:00 AM"
67955,"260902106",2026-09-05,"LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES","O",NA,NA,"213","F",33,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","400 OLDHAM ST","N/A","SOUTHEAST","GREEKTOWN",39.287582,-76.556005,"STREET",1,"11:00 PM"
67956,"260902138",2026-09-05,"LARCENY","O",NA,NA,"314","M",49,"WHITE","NOT_HISPANIC_OR_LATINO","2300 HARFORD RD","N/A","EASTERN","EAST BALTIMORE MIDWAY",39.31651,-76.596276,"GAS STATION",1,"07:30 AM"
67957,"260902150",2026-09-06,"LARCENY FROM AUTO","O",NA,NA,"827","F",67,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","1000 W LEXINGTON ST","N/A","SOUTHWEST","POPPLETON",39.290792,-76.635579,"STREET",1,"12:30 AM"
67958,"260902183",2026-09-05,"AGG. ASSAULT","I","KNIFE_CUTTING_INSTRUMENT",NA,"715","M",47,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","900 HARLEM AVE","N/A","WESTERN","HARLEM PARK",39.296739,-76.63334,"CONVENIENCE STORE",1,"05:00 PM"
67959,"260902183",2026-09-05,"AGG. ASSAULT","I","KNIFE_CUTTING_INSTRUMENT",NA,"715","M",28,NA,"NOT_HISPANIC_OR_LATINO","900 HARLEM AVE","N/A","WESTERN","HARLEM PARK",39.296739,-76.63334,"CONVENIENCE STORE",1,"05:00 PM"
67960,"260903344",2026-09-06,"LARCENY","I",NA,NA,"921","M",29,"BLACK_OR_AFRICAN_AMERICAN","UNKNOWN","1800 WASHINGTON BLVD","N/A","SOUTHERN","CARROLL - CAMDEN INDUSTRIAL AREA",39.275107,-76.642094,"CONVENIENCE STORE",1,"12:15 AM"
67961,"260901764",2026-09-05,"BURGLARY","I",NA,NA,"316","F",68,"BLACK_OR_AFRICAN_AMERICAN","UNKNOWN","1300 E NORTH AVE","N/A","EASTERN","OLIVER",39.311677,-76.600368,"OTHER/RESIDENTIAL",1,"05:15 PM"
67962,"260901765",2026-09-05,"VANDALISM","I",NA,NA,"126",NA,NA,NA,NA,"100 S BROADWAY","N/A","CENTRAL","WASHINGTON HILL",39.290261,-76.594275,"CONVENIENCE STORE",1,"05:40 PM"
68027,"260901204",2026-09-03,"VANDALISM","I",NA,NA,"627",NA,NA,NA,NA,"3000 GLEN AVE","N/A","NORTHWEST","GLEN",39.359232,-76.680975,"OTHER/RESIDENTIAL",1,"09:00 PM"
